Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047406,17/01/2022,IN202123905,9004775,GS Caltex India Pvt Ltd,Kalamboli,1006958,GS Caltex India Private Limited,Mumbai,134051071,SK 40/24 PV5 <IHS*GS CALTEX* SILV AM3518,1340590,SK 40/24 PV5 IHS,"60,000",40,0.00,Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2275,Maharashtra,Maharashtra,27AADCG6605R1Z3,27AADCG6605R1Z3,LCV-17 Ft.,MH14GD7385
7300047407,17/01/2022,IN202123906,9004775,GS Caltex India Pvt Ltd,Kalamboli,1006958,GS Caltex India Private Limited,Mumbai,134210353,TSV 40 PV LS <NAT/SILVER AM3518,1342103,TSV 40-1 PV LONG SPOUT,"13,600",16,0.00,Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2275,Maharashtra,Maharashtra,27AADCG6605R1Z3,27AADCG6605R1Z3,LCV-17 Ft.,MH14GD7385
7300047407,17/01/2022,IN202123906,9004775,GS Caltex India Pvt Ltd,Kalamboli,1006958,GS Caltex India Private Limited,Mumbai,134051071,SK 40/24 PV5 <IHS*GS CALTEX* SILV AM3518,1340590,SK 40/24 PV5 IHS,"120,000",80,0.00,Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2275,Maharashtra,Maharashtra,27AADCG6605R1Z3,27AADCG6605R1Z3,LCV-17 Ft.,MH14GD7385
7300047408,17/01/2022,IN202123907,9004775,GS Caltex India Pvt Ltd,Kalamboli,1006958,GS Caltex India Private Limited,Mumbai,134050911,SK 40/24 PV5 <IHS*GS CALTEX* P GREE583BG,1340590,SK 40/24 PV5 IHS,"12,000",8,0.00,Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2275,Maharashtra,Maharashtra,27AADCG6605R1Z3,27AADCG6605R1Z3,LCV-17 Ft.,MH14GD7385
7300047409,17/01/2022,IN202123908,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"3,060,000",360,0.00,"Bidadi, Hobli",IN,CIF,14046,Oms Logistics Private Limited,O52479,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,MH48BM5057
7300047410,17/01/2022,IN202123909,1014681,Hindustan Coca-Cola Beverages Pvt L,Sanand,1014681,Hindustan Coca-Cola Beverages Pvt L,"Sanand, Ahmedabad",170401004,DS SUS 22/14 7040 SFB<BLUE7925*COCACOLA*,1704001,DS SUS 22/14 7040 SFB,"3,060,000",360,0.00,"Sanand, Ahmedabad",IN,CIF,16512,TCI HI-WAYS PVT LTD,LL31341,Gujarat,Gujarat,24AAACH3005M1ZX,24AAACH3005M1ZX,Cont.-20 Ft.,MH14GD8432
7300047412,17/01/2022,IN202123911,1012127,GULF OIL LUBRICANTS INDIA LIMITED,Silvasa,1012127,GULF OIL LUBRICANTS INDIA LIMITED,SILVASSA,134051089,SK 40/24 PV5 IHS 37.5M<* GULF* BLUE 2423,1340590,SK 40/24 PV5 IHS,"21,000",14,0.00,SILVASSA,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102296,DNH & Daman & Diu,DNH & Daman & Diu,26AACCH0941E1Z1,26AACCH0941E1Z1,Truck-19 Ft.,DN09U9708
7300047412,17/01/2022,IN202123911,1012127,GULF OIL LUBRICANTS INDIA LIMITED,Silvasa,1012127,GULF OIL LUBRICANTS INDIA LIMITED,SILVASSA,134051214,SK 40/24 PV5<*GULF* GOLD RS.150 PR 2.5L,1340590,SK 40/24 PV5 IHS,"12,000",8,0.00,SILVASSA,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102296,DNH & Daman & Diu,DNH & Daman & Diu,26AACCH0941E1Z1,26AACCH0941E1Z1,Truck-19 Ft.,DN09U9708
7300047413,17/01/2022,IN202123912,1012127,GULF OIL LUBRICANTS INDIA LIMITED,Silvasa,1012127,GULF OIL LUBRICANTS INDIA LIMITED,SILVASSA,133066830,SK 38/23 SFB <IHS 36/1*GULF*V  BLUE 2423,1330665,SK 38/23 SFB IHS,"372,600",207,0.00,SILVASSA,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102296,DNH & Daman & Diu,DNH & Daman & Diu,26AACCH0941E1Z1,26AACCH0941E1Z1,Truck-19 Ft.,DN09U9708
7300047414,17/01/2022,IN202123913,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"3,060,000",360,0.00,Goblej,IN,CIF,17587,N P TRANSPORT,NP1132,Gujarat,Gujarat,24AAACH3005M1ZX,24AAACH3005M1ZX,Cont.-20 Ft.,MH14GD7042
