Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300048570,25/03/2022,IN202125018,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,"Bidadi, Hobli",IN,CIF,16512,TCI HI-WAYS PVT LTD,LL40005,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA05AK8021
7300048571,25/03/2022,IN202125019,97300045,Cargill India Pvt Ltd.,Kurakumbh,97300045,Cargill India Pvt Ltd.,Pune,116310225,BERG SPOUT 42 <GREEN 0024 *CARGILL EMB*,1163101,"BERG SPOUT 42/4,1","64,000",40,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1517,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,LCV-709,MH11AL1766
7300048572,25/03/2022,IN202125020,97300045,Cargill India Pvt Ltd.,Kurakumbh,97300045,Cargill India Pvt Ltd.,Pune,116310178,BERG SPOUT 42 < Cargill Gold XX-0675,1163101,"BERG SPOUT 42/4,1","48,000",30,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1517,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,LCV-709,MH11AL1766
7300048574,25/03/2022,IN202125022,1018485,OCTAGON FOODS LLP,Latur ,1018485,OCTAGON FOODS LLP,Latur,116310462,BERG SPOUT 42 ECCO< GREEN 2966 *Octogon*,1163201,BERG SPOUT 42 ECO,"49,600",31,0.00,Latur,IN,CIF,97300171,V-Trans (India) Ltd.,20246458,Maharashtra,Maharashtra,27AADFO8763F1ZZ,27AADFO8763F1ZZ,LCL,MH14HU9558
7300048575,25/03/2022,IN202125023,97300023,Ashwin Vanaspati Industries Pvt Ltd,Baroda,97300023,Ashwin Vanaspati Industries Pvt Ltd,Baroda,116310407,BERG SPOUT 42 ECCO<GREEN 0024*KORNDROP*,1163201,BERG SPOUT 42 ECO,"104,000",65,0.00,Baroda,IN,CIF,97300171,V-Trans (India) Ltd.,20246456,Gujarat,Gujarat,24AABCA9592M1Z7,24AABCA9592M1Z7,LCL,MH14HU9558
7300048576,25/03/2022,IN202125024,97300136,N. K. Proteins Pvt. Ltd.,Mehsana,97300136,N. K. Proteins Pvt. Ltd.,Mehesana,116310466,BERG SPOUT 42 ECCO<GREEN 0024*TIRUPATI*,1163201,BERG SPOUT 42 ECO,"40,000",25,0.00,Mehesana,IN,CIF,97300171,V-Trans (India) Ltd.,20246455,Gujarat,Gujarat,24AAACN9377N1ZU,24AAACN9377N1ZU,LCL,MH14HU9558
7300048576,25/03/2022,IN202125024,97300136,N. K. Proteins Pvt. Ltd.,Mehsana,97300136,N. K. Proteins Pvt. Ltd.,Mehesana,116310410,BERG SPOUT 42 ECCO<ORANGE 0032*TIRUPATI*,1163201,BERG SPOUT 42 ECO,"113,600",71,0.00,Mehesana,IN,CIF,97300171,V-Trans (India) Ltd.,20246455,Gujarat,Gujarat,24AAACN9377N1ZU,24AAACN9377N1ZU,LCL,MH14HU9558
7300048578,25/03/2022,IN202125026,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134210365,TSV 40 PV LS <NAT/ RED 32687,1342103,TSV 40-1 PV LONG SPOUT,"34,850",41,0.00,"Khalapur, Raigad",IN,CIF,17587,N P TRANSPORT,NP1518,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,PICK UP,MH14HU7442
7300048580,25/03/2022,IN202125028,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,wada,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,Wada,170850199,DS SUS 28/16 7085 SFB<RED*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"300,000",60,0.00,Wada,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2510,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-20 Ft.,MH14JL1498
7300048580,25/03/2022,IN202125028,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,wada,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,Wada,170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"1,500,000",300,0.00,Wada,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2510,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-20 Ft.,MH14JL1498
7300048582,25/03/2022,IN202125029,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"1,530,000",180,0.00,"Bidadi, Hobli",IN,CIF,14046,Oms Logistics Private Limited,O64740,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA04D3607
7300048582,25/03/2022,IN202125029,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",170401022,DS SUS 22/14 7040 SFB<WHITE *COCA-COLA*,1704001,DS SUS 22/14 7040 SFB,"1,530,000",180,0.00,"Bidadi, Hobli",IN,CIF,14046,Oms Logistics Private Limited,O64740,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA04D3607
7300048583,25/03/2022,IN202125030,1016427,Varun Beverages,Mumbai,1016427,Varun Beverages,Mahul. Mumbai,170850308,DS SUS 28/16 7085 CSD3<BLUE138 PEPSI UNI,1708501,DS SUS 28/16 7085 SFB CSD3,"940,000",188,0.00,Mahul. Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2511,Maharashtra,Maharashtra,27AAACV2678L1ZU,27AAACV2678L1ZU,Cont.-20 Ft.,MH14GD7385
7300048583,25/03/2022,IN202125030,1016427,Varun Beverages,Mumbai,1016427,Varun Beverages,Mahul. Mumbai,170850188,DS SUS 28/16 7085 CSD3<WHIT086 PEPSI UNI,1708501,DS SUS 28/16 7085 SFB CSD3,"775,000",155,0.00,Mahul. Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2511,Maharashtra,Maharashtra,27AAACV2678L1ZU,27AAACV2678L1ZU,Cont.-20 Ft.,MH14GD7385
7300048583,25/03/2022,IN202125030,1016427,Varun Beverages,Mumbai,1016427,Varun Beverages,Mahul. Mumbai,170850191,DS SUS 28/16 7085 CSD3<ORAN084 PEPSI UNI,1708501,DS SUS 28/16 7085 SFB CSD3,"85,000",17,0.00,Mahul. Mumbai,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2511,Maharashtra,Maharashtra,27AAACV2678L1ZU,27AAACV2678L1ZU,Cont.-20 Ft.,MH14GD7385
7300048584,25/03/2022,IN202125031,1016069,ELVI Bardahl India Private Limited,Valsad,1016069,ELVI Bardahl India Private Limited,"Vapi, Valsad",133060790,SK 38/23 PV <BLACK 0015 NO LINER,1330600,SK 38/23 PV  W / O LINER,"100,800",140,"6,320.00","Vapi, Valsad",IN,CPT,14308,AbhiImpact Logistic Solutions P.Ltd,AB2173485,Gujarat,Gujarat,24AAECE2238F1Z2,24AAECE2238F1Z2,LCV-709,DN09N9835
7300048586,26/03/2022,IN202125033,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP0022,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-20 Ft.,MH14HU9558
7300048587,26/03/2022,IN202125034,1015941,Hindustan coca cola Beverages Pvt L,Siliguri,1015941,Hindustan coca cola Beverages Pvt L,"Siliguri, Raninagar",170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"1,520,000",304,0.00,"Siliguri, Raninagar",IN,CIF,14046,Oms Logistics Private Limited,O64743,West Bengal,West Bengal,19AAACH3005M1ZO,19AAACH3005M1ZO,Cont.-32 Ft.9,UP78CT3311
7300048587,26/03/2022,IN202125034,1015941,Hindustan coca cola Beverages Pvt L,Siliguri,1015941,Hindustan coca cola Beverages Pvt L,"Siliguri, Raninagar",170850199,DS SUS 28/16 7085 SFB<RED*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"1,600,000",320,0.00,"Siliguri, Raninagar",IN,CIF,14046,Oms Logistics Private Limited,O64743,West Bengal,West Bengal,19AAACH3005M1ZO,19AAACH3005M1ZO,Cont.-32 Ft.9,UP78CT3311
7300048588,26/03/2022,IN202125035,1016184,VARUN BEVERAGES LTD.,Pathankot,1016184,VARUN BEVERAGES LTD.,Pathankot,172920154,DS 33/15 ACF WHITE (1086) HP1279 *SLI,1729201,DS 33/15 SFB ACF (3303),"2,192,400",522,0.00,Pathankot,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL42576,Punjab,Punjab,03AAACV2678L2Z3,03AAACV2678L2Z3,Cont.-32 Ft.,HR39D6492
7300048589,26/03/2022,IN202125036,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,"Bidadi, Hobli",IN,CIF,16512,TCI HI-WAYS PVT LTD,LL42549,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA22D7825
7300048591,26/03/2022,IN202125037,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"200,000",40,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1519,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,LCV-709,MH14JL4772
7300048591,26/03/2022,IN202125037,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,170850199,DS SUS 28/16 7085 SFB<RED*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"400,000",80,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1519,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,LCV-709,MH14JL4772
7300048592,26/03/2022,IN202125038,1019291,Mahesh Edible Agro Oil Industry Pvt,Alwar,1019291,Mahesh Edible Agro Oil Industry Pvt,Alwar,152300450,CTC 29/13<RED 2048 (L.W.),1523003,CTC 29/13,"786,000",131,0.00,Alwar,IN,CIF,17241,TCI Express Limited,59768284,Rajasthan,Rajasthan,08AAECB2154P1ZF,08AAECB2154P1ZF,LCL,MH05K9983
7300048593,26/03/2022,IN202125039,1016352,BUNGE INDIA PVT. LTD.,Rajpura ,1016352,BUNGE INDIA PVT. LTD.,RAJPURA,152220324,EV 21/20 MAG RED / RED 0036 *BUNGE*,1520201,EV 21/20  MAG (7740),"235,600",62,0.00,RAJPURA,IN,CIF,17241,TCI Express Limited,59768240,Punjab,Punjab,03AAACG7034K1ZT,03AAACG7034K1ZT,LCL,MH05K9983
7300048594,26/03/2022,IN202125040,1009544,Global Acqua Pvt. Ltd.,Kolkata,1009544,Global Acqua Pvt. Ltd.,Howrah,172600547,HEX.29/11SFB3T 120K0.4V22<BLU727*KINLEY*,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"3,744,000",624,0.00,Howrah,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2173525,West Bengal,West Bengal,19AABCG1662J1ZJ,19AABCG1662J1ZJ,Cont.-32 Ft.,MH12MV0168
7300048595,26/03/2022,IN202125041,97300023,Ashwin Vanaspati Industries Pvt Ltd,Baroda,97300023,Ashwin Vanaspati Industries Pvt Ltd,Baroda,116310407,BERG SPOUT 42 ECCO<GREEN 0024*KORNDROP*,1163201,BERG SPOUT 42 ECO,"19,200",12,0.00,Baroda,IN,CIF,97300171,V-Trans (India) Ltd.,20246472,Gujarat,Gujarat,24AABCA9592M1Z7,24AABCA9592M1Z7,LCL,MH14AZ2799
7300048596,26/03/2022,IN202125042,1017865,WELLMAC PLASTICS PRIVATE LIMITED,Daman,1017865,WELLMAC PLASTICS PRIVATE LIMITED,DAMAN,135290270,SK 50/21 SFB <IHS 47/1 BLUE ??,1352902,SK 50/21 SFB IHS,"39,600",33,0.00,DAMAN,IN,CIF,97300171,V-Trans (India) Ltd.,20246471,DNH & Daman & Diu,DNH & Daman & Diu,26AAACW9472F1Z2,26AAACW9472F1Z2,LCL,MH14AZ2799
