Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047679,03/02/2022,EX202110119,1017101,International Beverages Private Lim,BANGLADESH,1017101,International Beverages Private Lim,Bangladesh,170401002,DS SUS 22/14 7040 SFB <RED 2048*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"6,120,000",720,"384,928.00",Bangladesh,BD,CFR,23801,Meridian Global Shipping & Logistic,202110119,Export,Bangladesh,,,Export 40 ft,MH46AR1753
7300047681,03/02/2022,IN202124166,1015978,S. R. PROTEINS PVT. LTD.,Jaipur,1015978,S. R. PROTEINS PVT. LTD.,JAIPUR,152220312,EV 21/20 MAG RED/ RED 0036 (2F),1520201,EV 21/20  MAG (7740),"847,400",223,0.00,JAIPUR,IN,CIF,14046,Oms Logistics Private Limited,O52511,Rajasthan,Rajasthan,08AAICS0896F1Z2,08AAICS0896F1Z2,Cont.-19 Ft.,HR47E2755
7300047683,03/02/2022,IN202124168,97300236,Ashwarya Electricals Pvt Ltd,Kanpur,97300236,Ashwarya Electricals Pvt Ltd,Kanpur,152430201,CTC 26/10 (4330)<YELLOW 0046 V2 3020K,1524301,CTC  26/10  (4330),"400,000",40,0.00,Kanpur,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39705,Uttar Pradesh,Uttar Pradesh,09AABCA6852A1ZZ,09AABCA6852A1ZZ,Cont.-19 Ft.,MH14JL5488
7300047683,03/02/2022,IN202124168,97300236,Ashwarya Electricals Pvt Ltd,Kanpur,97300236,Ashwarya Electricals Pvt Ltd,Kanpur,152430200,CTC 26/10 (4330)<RED 0036 V2 3020K,1524301,CTC  26/10  (4330),"2,000,000",200,0.00,Kanpur,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39705,Uttar Pradesh,Uttar Pradesh,09AABCA6852A1ZZ,09AABCA6852A1ZZ,Cont.-19 Ft.,MH14JL5488
7300047684,03/02/2022,IN202124169,1013786,MURALYA DAIRY PRODUCTS PVT LTD,Trivandrum,1013786,MURALYA DAIRY PRODUCTS PVT LTD,Trivandrum,173080590,SK 38/16 S DS HF<*MURALYA BLUE 1138 (PE),1730803,SK 38/16 S DS HF,"960,000",360,"62,500.00",Trivandrum,IN,CPT,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103732,Kerala,Kerala,32AAGCM9238D1ZL,32AAGCM9238D1ZL,Cont.-20 Ft.,MH14JL6138
7300047685,03/02/2022,IN202124170,9005538,West Coast Lubricants & Asphalts Pv,Kalamboli,1012149,Shell India Markets Pvt. Ltd.,"Taloja, Raigad",134210358,TSV 40 PV LS <NAT/ YELLOW,1342103,TSV 40-1 PV LONG SPOUT,"83,300",98,0.00,"Taloja, Raigad",IN,CIF,17587,N P TRANSPORT,NP1205,Maharashtra,Maharashtra,27AAICS1404P1Z3,27AAACW3334Q1ZW,LCV-709,MH04HD2484
7300047686,03/02/2022,IN202124171,1018453,TOTALENERGIES MARKETING INDIA PVT.,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",133066837,SK 38/23 SFB <*TOTAL3 STAR BLK RPL RS.30,1330665,SK 38/23 SFB IHS,"192,600",107,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2292,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-17 Ft.,MH16AY8420
7300047686,03/02/2022,IN202124171,1018453,TOTALENERGIES MARKETING INDIA PVT.,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",133066681,SK 38/23 SFB <IHS ELF  BLK * ELF RPL*(R),1330665,SK 38/23 SFB IHS,"91,800",51,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2292,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-17 Ft.,MH16AY8420
7300047686,03/02/2022,IN202124171,1018453,TOTALENERGIES MARKETING INDIA PVT.,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",135292461,SK 50/21-2 SFB  BLK 61 TOTAL RPL RS.100,1352924,SK 50/21-2 SFB RPL,"10,800",9,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2292,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-17 Ft.,MH16AY8420
7300047686,03/02/2022,IN202124171,1018453,TOTALENERGIES MARKETING INDIA PVT.,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",135292458,SK 50/21-2 SFB  BLK 61 TOTAL RPL RS.250,1352924,SK 50/21-2 SFB RPL,"3,600",3,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2292,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-17 Ft.,MH16AY8420
7300047688,03/02/2022,IN202124173,1006441,Champion Plastic Industries,Jaipur,1006441,Champion Plastic Industries,Jaipur,133060978,SK 38/23 PV <*CARGILL*IHS RED 0036,1330603,SK 38/23 PV IHS,"3,600",2,"3,000.00",Jaipur,IN,CPT,17241,TCI Express Limited,6123253,Rajasthan,Rajasthan,08ACGPB5130J1ZW,08ACGPB5130J1ZW,LCL,MH14HG6001
7300047689,03/02/2022,IN202124174,1017886,ANA Oils and Fats,Kakinada,1017886,ANA Oils and Fats,"Kakinada, AP, East Godavari",116310449,BERG SPOUT 42 ECCO< ORANGE31* HELLO LIFE,1163201,BERG SPOUT 42 ECO,"48,000",30,"9,200.00","Kakinada, AP, East Godav",IN,CPT,17241,TCI Express Limited,58816516,ANDHRA PRADESH,ANDHRA PRADESH,37AARCA9723G1Z8,37AARCA9723G1Z8,LCL,MH14HG6001
7300047690,03/02/2022,IN202124175,1014021,Growtech Industry,Delhi,1014021,Growtech Industry,NEW DELHI,134050974,SK 40/24 PV5 < BLACK 4174 NO LINER,1340590,SK 40/24 PV5 IHS,"48,000",32,0.00,NEW DELHI,IN,CIF,17241,TCI Express Limited,58816520,Delhi,Delhi,07AAKPS7325Q1ZU,07AAKPS7325Q1ZU,LCL,MH14HG6001
7300047694,03/02/2022,IN202124179,1014021,Growtech Industry,Delhi,1014021,Growtech Industry,NEW DELHI,133066584,SK 38/23 SFB < RED 2048 NO LINER,1330665,SK 38/23 SFB IHS,"54,000",30,0.00,NEW DELHI,IN,CIF,17241,TCI Express Limited,58816520,Delhi,Delhi,07AAKPS7325Q1ZU,07AAKPS7325Q1ZU,LCL,MH14HG6001
7300047695,03/02/2022,IN202124180,1014021,Growtech Industry,Delhi,1014021,Growtech Industry,NEW DELHI,133066583,SK 38/23 SFB <BLACK 4174 NO LINER,1330665,SK 38/23 SFB IHS,"234,000",130,0.00,NEW DELHI,IN,CIF,17241,TCI Express Limited,58816520,Delhi,Delhi,07AAKPS7325Q1ZU,07AAKPS7325Q1ZU,LCL,MH14HG6001
7300047696,03/02/2022,IN202124181,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059102,SK40/24 PV6<IHS-RS.10/-*CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"300,000",200,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP1206,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-17 Ft.,MH14HU9558
7300047697,03/02/2022,IN202124182,9004408,Prithviraj Plastics Pvt Ltd.,Kurakumbh,97300045,Cargill India Pvt Ltd.,Pune,133061009,SK 38/23 PV IHS <*CARGILL* ORANGE 274,1330603,SK 38/23 PV IHS,"21,600",12,0.00,Pune,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2293,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAFCP7763B1ZC,PICK UP,MH14HU7442
7300047698,04/02/2022,EX202110120,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,133061041,SK 38/23 PV<*VEEDOL* RED 0812 NO IINER,1330603,SK 38/23 PV IHS,"90,000",50,"8,768.64",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110120,Export,DUBAI,,,Export 40 ft,MH46AR1753
7300047698,04/02/2022,EX202110120,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,133061043,SK 38/23 PV<*VEEDOL* BLK 4174 NO LlNER,1330603,SK 38/23 PV IHS,"109,800",61,"10,698.06",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110120,Export,DUBAI,,,Export 40 ft,MH46AR1753
7300047698,04/02/2022,EX202110120,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,133066583,SK 38/23 SFB <BLACK 4174 NO LINER,1330665,SK 38/23 SFB IHS,"300,600",167,"22,071.34",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110120,Export,DUBAI,,,Export 40 ft,MH46AR1753
