Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047136,29/12/2021,IN202123653,97300245,Mantora Oil Products Ltd.,Kanpur,97300245,Mantora Oil Products Ltd.,Kanpur-Dehat,116310159,BERG SPOUT 42 <GREEN 0024 UNI,1163101,"BERG SPOUT 42/3,4","75,200",47,0.00,Kanpur-Dehat,IN,CIF,17241,TCI Express Limited,58814000,Uttar Pradesh,Uttar Pradesh,09AABCM8155E1ZF,09AABCM8155E1ZF,LCL,MH05K9983
7300047136,29/12/2021,IN202123653,97300245,Mantora Oil Products Ltd.,Kanpur,97300245,Mantora Oil Products Ltd.,Kanpur-Dehat,116310235,BERG SPOUT 42 <V2 D YELLOW 0042 UNI,1163101,"BERG SPOUT 42/3,4","62,400",39,0.00,Kanpur-Dehat,IN,CIF,17241,TCI Express Limited,58814000,Uttar Pradesh,Uttar Pradesh,09AABCM8155E1ZF,09AABCM8155E1ZF,LCL,MH05K9983
7300047137,29/12/2021,IN202123654,1018104,ESDEE PAINTS LIMITED MORAIYA - III,Ahmedabad,1018104,ESDEE PAINTS LIMITED MORAIYA - III,"CHACHARAVADI, AHMEDABAD",116210265,P2 K <*TX PRG* NAT/ RED 0036,1162101,P2 K,"108,000",60,0.00,"CHACHARAVADI, AHMEDABAD",IN,CIF,97300171,V-Trans (India) Ltd.,20245753,Gujarat,Gujarat,24AAACE1378A1Z9,24AAACE1378A1Z9,LCL,MH14HU9558
7300047138,29/12/2021,IN202123655,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"3,060,000",360,0.00,Goblej,IN,CIF,17587,N P TRANSPORT,NP1040,Gujarat,Gujarat,24AAACH3005M1ZX,24AAACH3005M1ZX,Cont.-20 Ft.,MH14JL9558
7300047142,29/12/2021,IN202123658,1018329,Adama India Private Limited,Dahej,1018329,Adama India Private Limited,Bharuch,134620102,SK 40/23 SFB CUT <IHS ADAMA GREEN 1821,1346201,SK 40/23 SFB CUT IHS - ADAMA,"510,000",300,0.00,Bharuch,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2350,Gujarat,Gujarat,24AABCM8797N1ZO,24AABCM8797N1ZO,Cont.-20 Ft.,MH12HD2693
7300047143,29/12/2021,IN202123659,97300087,Hindustan Coca-Cola Beverages Pvt L,Guntur,97300087,Hindustan Coca-Cola Beverages Pvt L,Guntur,170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"3,120,000",624,0.00,Guntur,IN,CIF,14046,Oms Logistics Private Limited,O52441,ANDHRA PRADESH,ANDHRA PRADESH,37AAACH3005M1ZQ,37AAACH3005M1ZQ,Cont.-32 Ft.9,MH12LT5655
7300047149,30/12/2021,IN202123660,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,080,000",360,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1046,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-20 Ft.,MH14HU9558
7300047150,30/12/2021,IN202123661,1015369,BUNGE INDIA PVT LTD,Gandhidham,1015369,BUNGE INDIA PVT LTD,"BHACHAU, KUTCH",116310423,BERG SPOUT 42 ECCO< GREEN 0089 *BUNGE*,1163201,BERG SPOUT 42 ECO,"209,600",200,0.00,"BHACHAU, KUTCH",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB100925,Gujarat,Gujarat,24AAACG7034K1ZP,24AAACG7034K1ZP,LCV-17 Ft.,GJ12BW0432
7300047153,30/12/2021,IN202123664,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,080,000",360,0.00,"Bidadi, Hobli",IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39575,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA05AK3617
7300047154,30/12/2021,IN202123665,97300198,Tide Water Oil Company (India) Ltd.,Kolkata,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133060740,SK 38/23 PV <*VEEDOL*IHS-VEED WHT TWOCIL,1330603,SK 38/23 PV IHS,"21,600",12,0.00,Howrah,IN,CIF,17241,TCI Express Limited,58814140,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
7300047154,30/12/2021,IN202123665,97300198,Tide Water Oil Company (India) Ltd.,Kolkata,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133061024,SK 38/23 PV<*VEEDOL*IHS-Rs20 WHI 1LTR,1330603,SK 38/23 PV IHS,"36,000",20,0.00,Howrah,IN,CIF,17241,TCI Express Limited,58814140,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
