Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300050774,01/08/2022,IN202221954,97300028,Bengal Beverages Pvt.Ltd.,Kolkata,97300028,Bengal Beverages Pvt.Ltd.,Hooghly,170401022,DS SUS 22/14 7040 SFB<WHITE *COCA-COLA*,1704001,DS SUS 22/14 7040 SFB,"2,975,000",350,0,Hooghly,IN,CIF,14046,Oms Logistics Private Limited,O64993,West Bengal,West Bengal,19AABCB5984E1ZI,19AABCB5984E1ZI,Cont.-32 Ft.9,NL01AD3001
7300050774,01/08/2022,IN202221954,97300028,Bengal Beverages Pvt.Ltd.,Kolkata,97300028,Bengal Beverages Pvt.Ltd.,Hooghly,170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"2,329,000",274,0,Hooghly,IN,CIF,14046,Oms Logistics Private Limited,O64993,West Bengal,West Bengal,19AABCB5984E1ZI,19AABCB5984E1ZI,Cont.-32 Ft.9,NL01AD3001
7300050776,01/08/2022,IN202221956,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053223,SK 40/24 PV5<* IDEMITSU* RS200 RED 32687,1340590,SK 40/24 PV5 IHS,"49,500",33,0,"Khalapur, Raigad",IN,CIF,17587,N P TRANSPORT,NP0715,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,PICK UP,MH14HU7442
7300050776,01/08/2022,IN202221956,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053219,SK 40/24 PV5<* IDEMITSU* RS.25 RED 32687,1340590,SK 40/24 PV5 IHS,"58,500",39,0,"Khalapur, Raigad",IN,CIF,17587,N P TRANSPORT,NP0715,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,PICK UP,MH14HU7442
7300050777,01/08/2022,IN202221957,97300083,Hindustan Coca Cola Bev. Pvt. Ltd.,Sricity,97300083,Hindustan Coca Cola Bev. Pvt. Ltd.,Chittoor,170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"5,304,000",624,0,Chittoor,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL59210,ANDHRA PRADESH,ANDHRA PRADESH,37AAACH3005M1ZQ,37AAACH3005M1ZQ,Cont.-32 Ft.9,HR38AD8921
7300050779,01/08/2022,IN202221958,9005538,West Coast Lubricants & Asphalts Pv,Kalamboli,1012149,Shell India Markets Pvt. Ltd.,"Taloja, Raigad",134210361,TSV 40 PV LS <NAT/SILVER 33102(WARM GREY,1342103,TSV 40-1 PV LONG SPOUT,"28,900",34,0,"Taloja, Raigad",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2688,Maharashtra,Maharashtra,27AAICS1404P1Z3,27AAACW3334Q1ZW,Tempo-407,MH12TV4578
7300050780,01/08/2022,IN202221959,1012149,Shell India Markets Pvt. Ltd.,Navi Mumbai,1012149,Shell India Markets Pvt. Ltd.,"Taloja, Raigad",133069902,"SK 38/19 SFB IHS AX5 Adva YELLOW ""SHELL""",1330692,SK 38/19 SFB EPE/IHS SHELL,"98,000",49,0,"Taloja, Raigad",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2688,Maharashtra,Maharashtra,27AAICS1404P1Z3,27AAICS1404P1Z3,Tempo-407,MH12TV4578
7300050781,02/08/2022,IN202221960,1015941,Hindustan coca cola Beverages Pvt L,Siliguri,1015941,Hindustan coca cola Beverages Pvt L,"Siliguri, Raninagar",170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"3,120,000",624,0,"Siliguri, Raninagar",IN,CIF,16512,TCI HI-WAYS PVT LTD,LL59261,West Bengal,West Bengal,19AAACH3005M1ZO,19AAACH3005M1ZO,Cont.-32 Ft.9,UP21CT4306
7300050782,02/08/2022,IN202221961,1010986,Valvoline Cummins Private Limited,Ambernath,1010986,Valvoline Cummins Private Limited,Additional Ambernath,134210306,TSV 40 PV LS <NAT/BLK 1061(3985),1342103,TSV 40-1 PV LONG SPOUT,"35,700",42,0,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0716,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACW0287A1ZN,Tempo-407,MH234341
7300050782,02/08/2022,IN202221961,1010986,Valvoline Cummins Private Limited,Ambernath,1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066818,SK 38/23 SFB<VALVO SILV RS.40 MCO 506952,1330665,SK 38/23 SFB IHS,"88,200",49,0,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0716,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACW0287A1ZN,Tempo-407,MH234341
