Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,134053017,SK40/24 PV4< IHS ACDELCO* GOLD 1128 AC D,1340530,SK 40/24 PV4  CALTEX IHS,"337,500",225,"27,990.66",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,133066696,SK 38/23 SFB<*TOTAL 3STAR* BLK  NO LINER,1330665,SK 38/23 SFB IHS,"147,600",82,"8,619.31",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,116210295,P2 K <*TX PRG* NAT/ GREEN 0047,1162101,P2 K,"41,400",23,"6,850.84",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,116211081,P2 K CL BLU/RED 21,1162110,P2 K CL,"201,600",112,"46,599.62",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,116430151,BERG SPOUT 42 STS <NAT / RED 0035,1164301,BS 42 STS,"400,000",250,"136,261.09",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048490,22/03/2022,EX202110136,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,1004510,BERICAP MIDDLE EAST FZE.,DUBAI,133060974,SK 38/23 PV <RED 0036 > NO LINER,1330600,SK 38/23 PV  W / O LINER,"50,400",28,"3,719.48",DUBAI,AE,CFR,23801,Meridian Global Shipping & Logistic,202110136,Export,DUBAI,,,Export 40 ft,MH04EL0238
7300048491,22/03/2022,IN202124941,97300045,Cargill India Pvt Ltd.,Kurakumbh,97300045,Cargill India Pvt Ltd.,Pune,116310271,BERG SPOUT 42 < CARGILL* ORANGE 274,1163101,"BERG SPOUT 42/4,1","49,600",31,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1503,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,PICK UP,MH14EM5580
7300048492,22/03/2022,IN202124942,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,170850301,DS SUS 28/16 7085 SFB<whit*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"200,000",40,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1504,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,LCV-709,MH14HU9558
7300048492,22/03/2022,IN202124942,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pirangut,1007343,Hindustan Coca Cola Bev. Pvt. Ltd.,Pune,170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"500,000",100,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP1504,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,LCV-709,MH14HU9558
7300048493,22/03/2022,IN202124943,9005459,BHARATIYAM FOODS & BEVERAGES PVT LT,Bidadi,1012973,HINDUSTAN COCA-COLA BEVERAGES PVT L,Bidadi Hobli,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Bidadi Hobli,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL40033,Karnataka,Karnataka,29AAACH3005M1ZN,29AABCB6746L1Z8,Cont.-20 Ft.,KA52B3570
