Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047816,10/02/2022,IN202124296,1010823,BHARAT OIL INDUSTRIES,Gaziyabad,1010823,BHARAT OIL INDUSTRIES,GHAZIABAD,152430201,CTC 26/10 (4330)<YELLOW 0046 V2 3020K,1524301,CTC  26/10  (4330),"200,000",20,0.00,GHAZIABAD,IN,CIF,14046,Oms Logistics Private Limited,O52529,Uttar Pradesh,Uttar Pradesh,09AAZPA1892P1ZR,09AAZPA1892P1ZR,Cont.-19 Ft.,KA01AM3297
7300047816,10/02/2022,IN202124296,1010823,BHARAT OIL INDUSTRIES,Gaziyabad,1010823,BHARAT OIL INDUSTRIES,GHAZIABAD,152300451,CTC 29/13<YELLOW 0042 (L.W.),1523003,CTC 29/13,"1,302,000",217,0.00,GHAZIABAD,IN,CIF,14046,Oms Logistics Private Limited,O52529,Uttar Pradesh,Uttar Pradesh,09AAZPA1892P1ZR,09AAZPA1892P1ZR,Cont.-19 Ft.,KA01AM3297
7300047819,10/02/2022,IN202124298,1017865,WELLMAC PLASTICS PRIVATE LIMITED,Daman,1017865,WELLMAC PLASTICS PRIVATE LIMITED,DAMAN,135290270,SK 50/21 SFB <IHS 47/1 BLUE ??,1352902,SK 50/21 SFB IHS,"8,400",7,0.00,DAMAN,IN,CIF,97300171,V-Trans (India) Ltd.,20246076,DNH & Daman & Diu,DNH & Daman & Diu,26AAACW9472F1Z2,26AAACW9472F1Z2,LCL,MH14AZ2799
7300047820,10/02/2022,IN202124299,1015879,CHEMOLEUMS INDIA PVT. LTD,Silvasa,1015879,CHEMOLEUMS INDIA PVT. LTD,Dadra,133060732,SK 38/23 PV <*CHEMOLEUMS*IHS-CHEMO SILV,1330603,SK 38/23 PV IHS,"45,000",25,"3,000.00",Dadra,IN,CPT,97300171,V-Trans (India) Ltd.,20246077,DNH & Daman & Diu,DNH & Daman & Diu,26AADCC5839K2ZC,26AADCC5839K2ZC,LCL,MH14AZ2799
7300047823,10/02/2022,IN202124302,97300214,VISHAL INDUSTRIES,Delhi,97300214,VISHAL INDUSTRIES,Delhi,116211081,P2 K CL BLU/RED 21,1162110,P2 K CL,"12,600",7,0.00,Delhi,IN,CIF,17241,TCI Express Limited,58817242,Delhi,Delhi,07AAXPS2781F1Z2,07AAXPS2781F1Z2,LCL,MH05K9983
7300047825,10/02/2022,IN202124304,1013871,VINNI CHEMICALS PVT.LTD.,Solan,1013871,VINNI CHEMICALS PVT.LTD.,SOLAN,133066583,SK 38/23 SFB <BLACK 4174 NO LINER,1330665,SK 38/23 SFB IHS,"48,600",27,0.00,SOLAN,IN,CIF,17241,TCI Express Limited,58817216,Himachal Pradesh,Himachal Pradesh,02AAACV8729J2Z5,02AAACV8729J2Z5,LCL,MH05K9983
7300047826,10/02/2022,IN202124305,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,Faridabad,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,FARIDABAD,173080758,SK 38/16 S DS <* AMUL * BLUE 9148 54GC0,1730801,SK 38/16 S DS,"1,872,000",624,0.00,FARIDABAD,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103986,Haryana,Haryana,06AAAAB0575E1Z9,06AAAAB0575E1Z9,Cont.-32 Ft.9,HR47D0273
7300047827,10/02/2022,IN202124306,9007845,LSR SPECIALITY OILS PVT LTD,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",135292452,SK 50/21-2 SFB  BLK 61 TOTAL RPL RS.50,1352924,SK 50/21-2 SFB RPL,"7,200",6,0.00,"Andheri (East),Mumbai",IN,CIF,17587,N P TRANSPORT,NP1241,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-709,MH12RN0534
7300047827,10/02/2022,IN202124306,9007845,LSR SPECIALITY OILS PVT LTD,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",135292456,SK 50/21-2 SFB  BLK 61 TOTAL RPL RS.150,1352924,SK 50/21-2 SFB RPL,"6,000",5,0.00,"Andheri (East),Mumbai",IN,CIF,17587,N P TRANSPORT,NP1241,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-709,MH12RN0534
7300047827,10/02/2022,IN202124306,9007845,LSR SPECIALITY OILS PVT LTD,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",133066681,SK 38/23 SFB <IHS ELF  BLK * ELF RPL*(R),1330675,SK 38/23 SFB RPL 18 KN,"156,600",87,0.00,"Andheri (East),Mumbai",IN,CIF,17587,N P TRANSPORT,NP1241,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,LCV-709,MH12RN0534
