Vehicle Name,Rate,Destination,UpdatedDate
Cont.-32 Ft.,38000,Gandhinagar,01/01/2022
Cont.-20 Ft.,54400,Gangaikondam,01/01/2022
Cont.-32 Ft.9,82000,Gangaikondam,01/01/2022
Cont.-19 Ft.,48500,Gaziyabad,01/01/2022
Cont.-20 Ft.,50600,Gaziyabad,01/01/2022
Cont.-32 Ft.,65000,Gaziyabad,01/01/2022
LCV-17 Ft.,17000,Goblej,01/01/2022
Truck-19 Ft.,19300,Goblej,01/01/2022
Cont.-19 Ft.,23100,Goblej,01/01/2022
Cont.-20 Ft.,25200,Goblej,01/01/2022
Cont.-32 Ft.,38000,Goblej,01/01/2022
LCV-17 Ft.,17300,Godhara,01/01/2022
Truck-19 Ft.,19800,Godhara,01/01/2022
Cont.-19 Ft.,24400,Godhara,01/01/2022
Cont.-20 Ft.,26300,Godhara,01/01/2022
Cont.-32 Ft.,38000,Godhara,01/01/2022
Cont.-19 Ft.,39000,Guntur,01/01/2022
Cont.-20 Ft.,41000,Guntur,01/01/2022
Cont.-32 Ft.,60500,Guntur,01/01/2022
Cont.-32 Ft.9,65600,Guntur,01/01/2022
Cont.-20 Ft.,120000,Guwahati,01/01/2022
Cont.-32 Ft.,140000,Guwahati,01/01/2022
Cont.-32 Ft.9,148000,Guwahati,01/01/2022
Cont.-19 Ft.,49200,Hapur,01/01/2022
Cont.-20 Ft.,53300,Hapur,01/01/2022
Cont.-20 Ft.,62600,Haridwar,01/01/2022
Cont.-19 Ft.,52500,Hathras,01/01/2022
Cont.-20 Ft.,53600,Hathras,01/01/2022
Cont.-19 Ft.,29300,Himmatnagar,01/01/2022
Cont.-20 Ft.,33400,Himmatnagar,01/01/2022
Cont.-19 Ft.,51100,Hisar,01/01/2022
Cont.-20 Ft.,52000,Hisar,01/01/2022
Cont.-19 Ft.,60600,Hoshiarpur,01/01/2022
Cont.-20 Ft.,62600,Hoshiarpur,01/01/2022
Cont.-32 Ft.,77500,Hoshiarpur,01/01/2022
Cont.-32 Ft.9,90200,Hoshiarpur,01/01/2022
Cont.-19 Ft.,27100,Hyderabad,01/01/2022
Cont.-20 Ft.,29000,Hyderabad,01/01/2022
Cont.-32 Ft.,44600,Hyderabad,01/01/2022
Cont.-32 Ft.9,48200,Hyderabad,01/01/2022
Cont.-19 Ft.,42700,Jaipur,01/01/2022
Cont.-20 Ft.,44000,Jaipur,01/01/2022
Cont.-19 Ft.,59000,Jalandhar,01/01/2022
Cont.-20 Ft.,60500,Jalandhar,01/01/2022
Cont.-32 Ft.,72800,Jalandhar,01/01/2022
Cont.-19 Ft.,73300,Jammu,01/01/2022
Cont.-20 Ft.,74900,Jammu,01/01/2022
Cont.-32 Ft.,92300,Jammu,01/01/2022
Cont.-32 Ft.9,104600,Jammu,01/01/2022
Cont.-19 Ft.,54000,Jhansi,01/01/2022
Cont.-20 Ft.,56200,Jhansi,01/01/2022
Cont.-19 Ft.,48500,Kakinada,01/01/2022
Cont.-20 Ft.,50000,Kakinada,01/01/2022
PICK UP,5400,Kalamboli,01/01/2022
Tempo-407,6400,Kalamboli,01/01/2022
LCV-709,6900,Kalamboli,01/01/2022
LCV-17 Ft.,7500,Kalamboli,01/01/2022
Truck-19 Ft.,8000,Kalamboli,01/01/2022
Cont.-19 Ft.,10300,Kalamboli,01/01/2022
