Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047761,08/02/2022,IN202124242,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053220,SK 40/24 PV5<* IDEMISTU* RS.35 RED 32687,1340590,SK 40/24 PV5 IHS,"85,500",57,0.00,"Khalapur, Raigad",IN,CPT,17587,N P TRANSPORT,NP1228,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,LCV-709,MH04GR0442
7300047761,08/02/2022,IN202124242,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053219,SK 40/24 PV5<* IDEMISTU* RS.25 RED 32687,1340590,SK 40/24 PV5 IHS,"21,000",14,"6,500.00","Khalapur, Raigad",IN,CPT,17587,N P TRANSPORT,NP1228,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,LCV-709,MH04GR0442
7300047761,08/02/2022,IN202124242,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053221,SK 40/24 PV5<* IDEMISTU* RS.50 RED 32687,1340590,SK 40/24 PV5 IHS,"13,500",9,0.00,"Khalapur, Raigad",IN,CPT,17587,N P TRANSPORT,NP1228,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,LCV-709,MH04GR0442
7300047761,08/02/2022,IN202124242,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053224,SK 40/24 PV5<* IDEMISTU* RS500 RED 32687,1340590,SK 40/24 PV5 IHS,"3,000",32,0.00,"Khalapur, Raigad",IN,CPT,17587,N P TRANSPORT,NP1228,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,LCV-709,MH04GR0442
7300047761,08/02/2022,IN202124242,1018782,Idemitsu Lube India Pvt Ltd.,Khalapur,1018782,Idemitsu Lube India Pvt Ltd.,"Khalapur, Raigad",134053222,SK 40/24 PV5<* IDEMISTU* RS100 RED 32687,1340590,SK 40/24 PV5 IHS,"42,000",28,0.00,"Khalapur, Raigad",IN,CPT,17587,N P TRANSPORT,NP1228,Maharashtra,Maharashtra,27AABCI5684A1ZP,27AABCI5684A1ZP,LCV-709,MH04GR0442
7300047762,08/02/2022,IN202124243,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",170401022,DS SUS 22/14 7040 SFB<WHITE *COCA-COLA*,1704001,DS SUS 22/14 7040 SFB,"1,530,000",180,0.00,"Bidadi, Hobli",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103908,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA05AK3552
7300047762,08/02/2022,IN202124243,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,Bidadi,1009692,Hindustan Coca Cola Bev. Pvt. Ltd.,"Bidadi, Hobli",170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"1,530,000",180,0.00,"Bidadi, Hobli",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103908,Karnataka,Karnataka,29AAACH3005M1ZN,29AAACH3005M1ZN,Cont.-20 Ft.,KA05AK3552
7300047764,08/02/2022,IN202124245,97300136,N. K. Proteins Pvt. Ltd.,Mehsana,97300136,N. K. Proteins Pvt. Ltd.,Mehesana,116310410,BERG SPOUT 42 ECCO<ORANGE 0032*TIRUPATI*,1163201,BERG SPOUT 42 ECO,"108,800",68,0.00,Mehesana,IN,CIF,97300171,V-Trans (India) Ltd.,20246053,Gujarat,Gujarat,24AAACN9377N1ZU,24AAACN9377N1ZU,LCL,MH14HU9558
7300047765,08/02/2022,IN202124246,1016903,Ravi Oil Refineries,Rajkot,1016903,Ravi Oil Refineries,"GondaL,  Rajkot",116310452,BERG SPOUT 42 ECCO< YELLOW 046* RAVI OIL,1163201,BERG SPOUT 42 ECO,"16,000",10,0.00,"GondaL,  Rajkot",IN,CIF,97300171,V-Trans (India) Ltd.,20246054,Gujarat,Gujarat,24AAXFR3445H1ZT,24AAXFR3445H1ZT,LCL,MH14HU9558
7300047769,08/02/2022,IN202124250,1017886,ANA Oils and Fats,Kakinada,1017886,ANA Oils and Fats,"Kakinada, AP, East Godavari",116310449,BERG SPOUT 42 ECCO< ORANGE31* HELLO LIFE,1163201,BERG SPOUT 42 ECO,"52,800",33,"20,000.00","Kakinada, AP, East Godav",IN,CPT,17241,TCI Express Limited,58816951,ANDHRA PRADESH,ANDHRA PRADESH,37AARCA9723G1Z8,37AARCA9723G1Z8,LCL,MH05K9983
