Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047939,18/02/2022,IN202124411,9005459,BHARATIYAM FOODS & BEVERAGES PVT LT,Bidadi,1012973,HINDUSTAN COCA-COLA BEVERAGES PVT L,Bidadi Hobli,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Bidadi Hobli,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39836,Karnataka,Karnataka,29AAACH3005M1ZN,29AABCB6746L1Z8,Cont.-20 Ft.,MH14DM9538
7300047940,18/02/2022,IN202124412,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,Faridabad,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,FARIDABAD,173080356,SK 38/16 S DS <* AMUL * BLUE 1138 (PE),1730801,SK 38/16 S DS,"114,000",38,0.00,FARIDABAD,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39834,Haryana,Haryana,06AAAAB0575E1Z9,06AAAAB0575E1Z9,Cont.-20 Ft.,MH04KU3289
7300047940,18/02/2022,IN202124412,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,Faridabad,1016872,BANASKANTHA DIST.COOP.MILK UNION LT,FARIDABAD,173080758,SK 38/16 S DS <* AMUL * BLUE 9148 54GC0,1730801,SK 38/16 S DS,"966,000",322,0.00,FARIDABAD,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL39834,Haryana,Haryana,06AAAAB0575E1Z9,06AAAAB0575E1Z9,Cont.-20 Ft.,MH04KU3289
7300047942,18/02/2022,IN202124413,1017538,Parakh Foods & Oils Ltd,Khalapur,1017538,Parakh Foods & Oils Ltd,"Khalapur, RAIGAD",116310446,BERG SPOUT 42 ECCO< YELLOW 0046 *PARAKH*,1163201,BERG SPOUT 42 ECO,"124,800",140,"6,000.00","Khalapur, RAIGAD",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2362,Maharashtra,Maharashtra,27AABCP0313P1ZF,27AABCP0313P1ZF,LCV-709,MH04GR0442
7300047943,18/02/2022,IN202124414,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134051222,SK 40/24 PV5<*PETRON RS100 F22 *PETR BLK,1340590,SK 40/24 PV5 IHS,"6,000",12,452.00,"Chakala,Andher(E), Mumbai",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2363,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14EM0626
7300047944,18/02/2022,IN202124415,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134053057,SK 40/24 PV5<*PETR RS20 YEL F13*PETR BLK,1340590,SK 40/24 PV5 IHS,"6,000",4,452.00,"Chakala,Andher(E), Mumbai",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2363,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14EM0626
7300047945,18/02/2022,IN202124416,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134053202,SK 40/24 PV5<*PETR RS.40pur F38*PETR BLK,1340590,SK 40/24 PV5 IHS,"31,500",21,"2,371.00","Chakala,Andher(E), Mumbai",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2363,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14EM0626
7300047946,18/02/2022,IN202124417,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134051099,SK 40/24 PV5<*PETR RS20 RED F30*PETR BLK,1340590,SK 40/24 PV5 IHS,"10,500",7,790.00,"Chakala,Andher(E), Mumbai",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2363,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14EM0626
7300047946,18/02/2022,IN202124417,9006631,Petronas Lubricants (India) Private,Patalganga,1015424,Petronas Lubricants (India) Private,"Chakala,Andher(E), Mumbai",134053019,SK 40/24 PV5<*PETR RS.20 *PETRO BLK F-17,1340590,SK 40/24 PV5 IHS,"39,000",26,"2,935.00","Chakala,Andher(E), Mumbai",IN,CPT,16997,S.R.DABHADE TRANSPORT,SR2363,Maharashtra,Maharashtra,27AADCP7818B1ZI,27AADCP7818B1ZI,PICK UP,MH14EM0626
7300047947,18/02/2022,IN202124418,97300047,Cargill India Pvt. Ltd.,Gandhidham,97300047,Cargill India Pvt. Ltd.,Kutch,116310225,BERG SPOUT 42 <GREEN 0024 *CARGILL EMB*,1163101,"BERG SPOUT 42/4,1","60,800",38,0.00,Kutch,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2172200,Gujarat,Gujarat,24AAACC3269J1ZQ,24AAACC3269J1ZQ,LCV-17 Ft.,GJ03BW9172
